,0,1
327,2022011413,-180
328,2022011414,-483
329,2022011415,-642
330,2022011416,-570
331,2022011417,-386
332,2022011418,-65
333,2022011419,280
334,2022011420,583
335,2022011421,708
336,2022011422,547
337,2022011423,194
338,2022011500,-281
339,2022011501,-789
340,2022011502,-1120
341,2022011503,-1394
342,2022011504,-1413
343,2022011505,-1204
344,2022011506,-708
345,2022011507,-150
346,2022011508,411
347,2022011509,771
348,2022011510,927
349,2022011511,792
350,2022011512,482
351,2022011513,62
352,2022011514,-300
353,2022011515,-589
354,2022011516,-707
355,2022011517,-616
356,2022011518,-370
357,2022011519,21
358,2022011520,454
359,2022011521,738
360,2022011522,747
361,2022011523,593
362,2022011600,174
363,2022011601,-322
364,2022011602,-802
365,2022011603,-1122
366,2022011604,-1357
367,2022011605,-1274
368,2022011606,-973
369,2022011607,-364
370,2022011608,276
371,2022011609,812
372,2022011610,1118
373,2022011611,1186
374,2022011612,961
375,2022011613,533
376,2022011614,109
377,2022011615,-247
378,2022011616,-572
379,2022011617,-607
380,2022011618,-465
381,2022011619,-141
382,2022011620,289
383,2022011621,706
384,2022011622,868
385,2022011623,819
386,2022011700,456
387,2022011701,13
388,2022011702,-550
389,2022011703,-952
390,2022011704,-1316
391,2022011705,-1415
392,2022011706,-1251
393,2022011707,-828
394,2022011708,-171
395,2022011709,448
396,2022011710,912
397,2022011711,1167
398,2022011712,1079
399,2022011713,754
400,2022011714,290
401,2022011715,-183
402,2022011716,-591
403,2022011717,-787
404,2022011718,-750
405,2022011719,-496
406,2022011720,-83
407,2022011721,364
408,2022011722,684
409,2022011723,838
410,2022011800,641
411,2022011801,204
412,2022011802,-334
413,2022011803,-845
414,2022011804,-1252
415,2022011805,-1485
416,2022011806,-1466
417,2022011807,-1200
418,2022011808,-575
419,2022011809,64
420,2022011810,638
421,2022011811,1028
422,2022011812,1155
423,2022011813,932
424,2022011814,508
425,2022011815,12
426,2022011816,-431
427,2022011817,-718
428,2022011818,-799
429,2022011819,-658
430,2022011820,-314
431,2022011821,146
432,2022011822,555
433,2022011823,839
434,2022011900,821
435,2022011901,519
436,2022011902,6
437,2022011903,-617
438,2022011904,-1067
439,2022011905,-1468
440,2022011906,-1551
441,2022011907,-1460
442,2022011908,-1085
443,2022011909,-359
444,2022011910,319
445,2022011911,843
446,2022011912,1124
447,2022011913,1081
448,2022011914,728
449,2022011915,252
450,2022011916,-237
451,2022011917,-648
452,2022011918,-861
453,2022011919,-847
454,2022011920,-593
455,2022011921,-159
456,2022011922,337
457,2022011923,780
458,2022012000,950
459,2022012001,813
460,2022012002,425
461,2022012003,-161
462,2022012004,-773
463,2022012005,-1163
464,2022012006,-1467
465,2022012007,-1469
466,2022012008,-1198
467,2022012009,-594
468,2022012010,82
469,2022012011,715
470,2022012012,1128
471,2022012013,1275
472,2022012014,1040
473,2022012015,612
474,2022012016,103
475,2022012017,-386
476,2022012018,-720
477,2022012019,-804
478,2022012020,-644
479,2022012021,-316
480,2022012022,188
481,2022012023,658
482,2022012100,947
483,2022012101,955
484,2022012102,729
485,2022012103,207
486,2022012104,-426
487,2022012105,-876
488,2022012106,-1270
489,2022012107,-1444
490,2022012108,-1315
491,2022012109,-978
492,2022012110,-314
493,2022012111,363
494,2022012112,886
495,2022012113,1134
496,2022012114,1166
497,2022012115,756
498,2022012116,324
499,2022012117,-229
500,2022012118,-649
501,2022012119,-840
502,2022012120,-870
503,2022012121,-582
504,2022012122,-170
505,2022012123,341
506,2022012200,790
507,2022012201,998
508,2022012202,922
509,2022012203,503
510,2022012204,-26
511,2022012205,-633
512,2022012206,-1017
513,2022012207,-1345
514,2022012208,-1386
515,2022012209,-1146
516,2022012210,-655
517,2022012211,-29
518,2022012212,766
519,2022012213,1182
520,2022012214,1368
521,2022012215,1168
522,2022012216,709
523,2022012217,159
524,2022012218,-395
525,2022012219,-736
526,2022012220,-838
527,2022012221,-665
528,2022012222,-412
529,2022012223,45
530,2022012300,598
531,2022012301,1047
532,2022012302,1127
533,2022012303,965
534,2022012304,478
535,2022012305,-59
536,2022012306,-606
537,2022012307,-949
538,2022012308,-1158
539,2022012309,-1124
540,2022012310,-829
541,2022012311,-240
542,2022012312,406
543,2022012313,965
544,2022012314,1314
545,2022012315,1357
546,2022012316,1032
547,2022012317,562
548,2022012318,-19
549,2022012319,-484
550,2022012320,-735
551,2022012321,-758
552,2022012322,-604
553,2022012323,-212
554,2022012400,285
555,2022012401,787
556,2022012402,1128
557,2022012403,1214
558,2022012404,924
559,2022012405,460
560,2022012406,-56
561,2022012407,-542
562,2022012408,-864
563,2022012409,-971
564,2022012410,-851
565,2022012411,-448
566,2022012412,53
567,2022012413,634
568,2022012414,1077
569,2022012415,1346
570,2022012416,1204
571,2022012417,866
572,2022012418,365
573,2022012419,-159
574,2022012420,-597
575,2022012421,-822
576,2022012422,-847
577,2022012423,-624
578,2022012500,-266
579,2022012501,242
580,2022012502,686
581,2022012503,958
582,2022012504,969
583,2022012505,697
584,2022012506,266
585,2022012507,-227
586,2022012508,-625
587,2022012509,-873
588,2022012510,-979
589,2022012511,-820
590,2022012512,-436
591,2022012515,1016
592,2022012516,1173
593,2022012517,1028
594,2022012518,636
595,2022012519,112
596,2022012520,-415
597,2022012521,-800
598,2022012522,-997
599,2022012523,-995
600,2022012600,-728
601,2022012601,-327
602,2022012602,191
603,2022012603,648
604,2022012604,933
605,2022012605,977
606,2022012606,764
607,2022012607,384
608,2022012608,-40
609,2022012609,-449
610,2022012610,-679
611,2022012611,-731
612,2022012612,-587
613,2022012613,-276
614,2022012614,190
615,2022012615,643
616,2022012616,1025
617,2022012617,1145
618,2022012618,954
619,2022012619,565
620,2022012620,55
621,2022012621,-457
622,2022012622,-822
623,2022012623,-1052
624,2022012700,-1054
625,2022012701,-813
626,2022012702,-379
627,2022012703,91
628,2022012704,545
629,2022012705,886
630,2022012706,975
631,2022012707,809
632,2022012708,487
633,2022012709,100
634,2022012710,-288
635,2022012711,-557
636,2022012712,-631
637,2022012713,-541
638,2022012714,-224
639,2022012715,178
640,2022012716,598
641,2022012717,955
642,2022012718,1097
643,2022012719,952
644,2022012720,563
645,2022012721,94
646,2022012722,-441
647,2022012723,-824
648,2022012800,-1070
649,2022012801,-1120
650,2022012802,-945
651,2022012803,-505
652,2022012804,-9
653,2022012805,490
654,2022012806,911
655,2022012807,1109
656,2022012808,1041
657,2022012809,787
658,2022012810,428
659,2022012811,-6
